id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,highest_score,is_previous,is_current,is_next,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained,snapshot_time,can_enter,can_manage,released,overrides,cup_leagues_created,h2h_ko_matches_created,deadline_time_game_offset,ranked_count,release_time
2,Gameweek 2,2025-08-22T17:30:00+00:00,51,True,True,2963810.0,1755883800,140.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 206501}, {'chip_name': 'freehit', 'num_played': 159592}, {'chip_name': 'wildcard', 'num_played': 433085}, {'chip_name': '3xc', 'num_played': 267066}]",235.0,427.0,8.0,"{'id': 8, 'points': 24}",18178809,381.0,235.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,10752422,
7,Gameweek 7,2025-10-03T17:30:00+00:00,60,True,True,5563383.0,1759512600,135.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 170965}, {'chip_name': 'freehit', 'num_played': 130694}, {'chip_name': 'wildcard', 'num_played': 475622}, {'chip_name': '3xc', 'num_played': 187661}]",249.0,430.0,82.0,"{'id': 82, 'points': 18}",16350776,430.0,381.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12032746,
8,Gameweek 8,2025-10-18T10:00:00+00:00,56,True,True,7646584.0,1760781600,138.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 289156}, {'chip_name': 'freehit', 'num_played': 99534}, {'chip_name': 'wildcard', 'num_played': 409816}, {'chip_name': '3xc', 'num_played': 217287}]",430.0,714.0,225.0,"{'id': 225, 'points': 18}",16106510,430.0,82.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12155114,
9,Gameweek 9,2025-10-24T17:30:00+00:00,46,True,True,956028.0,1761327000,124.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 229184}, {'chip_name': 'freehit', 'num_played': 81276}, {'chip_name': 'wildcard', 'num_played': 236682}, {'chip_name': '3xc', 'num_played': 104043}]",430.0,714.0,575.0,"{'id': 575, 'points': 23}",12369350,430.0,82.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12213493,
10,Gameweek 10,2025-11-01T13:30:00+00:00,65,True,True,6474767.0,1762003800,135.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 185060}, {'chip_name': 'freehit', 'num_played': 140256}, {'chip_name': 'wildcard', 'num_played': 209733}, {'chip_name': '3xc', 'num_played': 138936}]",430.0,119.0,169.0,"{'id': 169, 'points': 16}",14380415,430.0,82.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12281789,
11,Gameweek 11,2025-11-08T11:00:00+00:00,38,True,True,12376400.0,1762599600,120.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 283693}, {'chip_name': 'freehit', 'num_played': 118562}, {'chip_name': 'wildcard', 'num_played': 113723}, {'chip_name': '3xc', 'num_played': 79701}]",430.0,283.0,228.0,"{'id': 228, 'points': 15}",10882725,430.0,82.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12338890,
12,Gameweek 12,2025-11-22T11:00:00+00:00,39,True,True,480852.0,1763809200,134.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 117635}, {'chip_name': 'freehit', 'num_played': 231508}, {'chip_name': 'wildcard', 'num_played': 189247}, {'chip_name': '3xc', 'num_played': 92598}]",430.0,119.0,266.0,"{'id': 266, 'points': 20}",13914718,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12405243,
33,Gameweek 33,2026-04-18T12:30:00+00:00,0,False,False,,1776515400,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
1,Gameweek 1,2025-08-15T17:30:00+00:00,54,True,True,3772644.0,1755279000,127.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 342779}, {'chip_name': '3xc', 'num_played': 272642}]",235.0,1.0,531.0,"{'id': 531, 'points': 17}",0,381.0,235.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,9469118,
13,Gameweek 13,2025-11-29T13:30:00+00:00,35,True,True,12500352.0,1764423000,123.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 127302}, {'chip_name': 'freehit', 'num_played': 516595}, {'chip_name': 'wildcard', 'num_played': 125267}, {'chip_name': '3xc', 'num_played': 1202761}]",430.0,136.0,684.0,"{'id': 684, 'points': 16}",16415537,430.0,381.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12444059,
14,Gameweek 14,2025-12-02T18:00:00+00:00,58,True,True,9285305.0,1764698400,138.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 161130}, {'chip_name': 'freehit', 'num_played': 143488}, {'chip_name': 'wildcard', 'num_played': 98897}, {'chip_name': '3xc', 'num_played': 132909}]",430.0,136.0,414.0,"{'id': 414, 'points': 17}",9442288,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12472152,
15,Gameweek 15,2025-12-06T11:00:00+00:00,49,True,True,6050277.0,1765018800,133.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 214358}, {'chip_name': 'freehit', 'num_played': 200662}, {'chip_name': 'wildcard', 'num_played': 99905}, {'chip_name': '3xc', 'num_played': 222544}]",430.0,414.0,449.0,"{'id': 449, 'points': 18}",11765293,430.0,1.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12502403,
16,Gameweek 16,2025-12-13T13:30:00+00:00,60,True,True,3781937.0,1765632600,149.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 477343}, {'chip_name': 'freehit', 'num_played': 246031}, {'chip_name': 'wildcard', 'num_played': 97647}, {'chip_name': '3xc', 'num_played': 206393}]",430.0,414.0,516.0,"{'id': 516, 'points': 19}",24497356,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12544438,
17,Gameweek 17,2025-12-20T11:00:00+00:00,66,True,True,6887913.0,1766228400,148.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 378292}, {'chip_name': 'freehit', 'num_played': 243505}, {'chip_name': 'wildcard', 'num_played': 150531}, {'chip_name': '3xc', 'num_played': 989479}]",430.0,329.0,107.0,"{'id': 107, 'points': 21}",16356600,430.0,414.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12584041,
18,Gameweek 18,2025-12-26T18:30:00+00:00,44,True,True,3080196.0,1766773800,118.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 592927}, {'chip_name': 'freehit', 'num_played': 498912}, {'chip_name': 'wildcard', 'num_played': 219334}, {'chip_name': '3xc', 'num_played': 479352}]",430.0,661.0,120.0,"{'id': 120, 'points': 20}",16835174,430.0,414.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12620812,
34,Gameweek 34,2026-04-25T12:30:00+00:00,0,False,False,,1777120200,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
3,Gameweek 3,2025-08-30T10:00:00+00:00,48,True,True,4374360.0,1756548000,118.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 181694}, {'chip_name': 'freehit', 'num_played': 392607}, {'chip_name': 'wildcard', 'num_played': 714353}, {'chip_name': '3xc', 'num_played': 327492}]",249.0,82.0,260.0,"{'id': 260, 'points': 15}",27802596,430.0,381.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,11304791,
4,Gameweek 4,2025-09-13T10:00:00+00:00,63,True,True,7997042.0,1757757600,139.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 151177}, {'chip_name': 'freehit', 'num_played': 245615}, {'chip_name': 'wildcard', 'num_played': 936058}, {'chip_name': '3xc', 'num_played': 265597}]",249.0,419.0,26.0,"{'id': 26, 'points': 16}",27408255,381.0,249.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,11641518,
5,Gameweek 5,2025-09-20T10:00:00+00:00,42,True,True,9985225.0,1758362400,112.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 231274}, {'chip_name': 'freehit', 'num_played': 140350}, {'chip_name': 'wildcard', 'num_played': 465965}, {'chip_name': '3xc', 'num_played': 121906}]",249.0,82.0,660.0,"{'id': 660, 'points': 15}",16533109,381.0,249.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,11803614,
6,Gameweek 6,2025-09-27T10:00:00+00:00,46,True,True,11887643.0,1758967200,124.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 157915}, {'chip_name': 'freehit', 'num_played': 178069}, {'chip_name': 'wildcard', 'num_played': 750713}, {'chip_name': '3xc', 'num_played': 812259}]",249.0,430.0,683.0,"{'id': 683, 'points': 17}",22147208,430.0,249.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,11930431,
19,Gameweek 19,2025-12-30T18:00:00+00:00,40,True,True,6796894.0,1767117600,112.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 631090}, {'chip_name': 'freehit', 'num_played': 559609}, {'chip_name': 'wildcard', 'num_played': 226700}, {'chip_name': '3xc', 'num_played': 323388}]",430.0,450.0,303.0,"{'id': 303, 'points': 16}",15084299,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12646658,
22,Gameweek 22,2026-01-17T11:00:00+00:00,40,True,True,12542399.0,1768647600,111.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 239898}, {'chip_name': 'freehit', 'num_played': 76367}, {'chip_name': 'wildcard', 'num_played': 213369}, {'chip_name': '3xc', 'num_played': 125638}]",430.0,5.0,441.0,"{'id': 441, 'points': 15}",12244354,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12727093,
23,Gameweek 23,2026-01-24T11:00:00+00:00,44,True,True,943181.0,1769252400,115.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 158150}, {'chip_name': 'freehit', 'num_played': 54600}, {'chip_name': 'wildcard', 'num_played': 169261}, {'chip_name': '3xc', 'num_played': 352912}]",430.0,449.0,387.0,"{'id': 387, 'points': 13}",8986548,430.0,136.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12748731,
20,Gameweek 20,2026-01-03T11:00:00+00:00,42,True,True,7324049.0,1767438000,117.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 83247}, {'chip_name': 'freehit', 'num_played': 88528}, {'chip_name': 'wildcard', 'num_played': 245930}, {'chip_name': '3xc', 'num_played': 66719}]",430.0,5.0,136.0,"{'id': 136, 'points': 17}",10282852,430.0,661.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12668861,
21,Gameweek 21,2026-01-06T18:30:00+00:00,48,True,True,1967626.0,1767724200,118.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 119453}, {'chip_name': 'freehit', 'num_played': 88007}, {'chip_name': 'wildcard', 'num_played': 225660}, {'chip_name': '3xc', 'num_played': 98740}]",430.0,5.0,487.0,"{'id': 487, 'points': 15}",10609899,430.0,414.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12691406,
24,Gameweek 24,2026-01-31T13:30:00+00:00,55,True,True,2348034.0,1769866200,126.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 175008}, {'chip_name': 'freehit', 'num_played': 91022}, {'chip_name': 'wildcard', 'num_played': 364012}, {'chip_name': '3xc', 'num_played': 85449}]",430.0,449.0,18.0,"{'id': 18, 'points': 14}",14084799,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12773603,
25,Gameweek 25,2026-02-06T18:30:00+00:00,58,True,True,510899.0,1770402600,147.0,True,False,False,"[{'chip_name': 'bboost', 'num_played': 115138}, {'chip_name': 'freehit', 'num_played': 110640}, {'chip_name': 'wildcard', 'num_played': 248203}, {'chip_name': '3xc', 'num_played': 76563}]",430.0,249.0,235.0,"{'id': 235, 'points': 20}",10565045,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12799155,
26,Gameweek 26,2026-02-10T18:00:00+00:00,40,False,False,8562671.0,1770746400,117.0,False,True,False,"[{'chip_name': 'bboost', 'num_played': 163842}, {'chip_name': 'freehit', 'num_played': 199177}, {'chip_name': 'wildcard', 'num_played': 170257}, {'chip_name': '3xc', 'num_played': 994106}]",430.0,666.0,373.0,"{'id': 373, 'points': 17}",10933870,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12820349,
27,Gameweek 27,2026-02-21T13:30:00+00:00,0,False,False,,1771680600,,False,False,True,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,True,True,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
28,Gameweek 28,2026-02-27T18:30:00+00:00,0,False,False,,1772217000,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
29,Gameweek 29,2026-03-03T18:00:00+00:00,0,False,False,,1772560800,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
30,Gameweek 30,2026-03-14T11:00:00+00:00,0,False,False,,1773486000,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
31,Gameweek 31,2026-03-20T18:30:00+00:00,0,False,False,,1774031400,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
32,Gameweek 32,2026-04-11T12:30:00+00:00,0,False,False,,1775910600,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
35,Gameweek 35,2026-05-02T12:30:00+00:00,0,False,False,,1777725000,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
36,Gameweek 36,2026-05-09T12:30:00+00:00,0,False,False,,1778329800,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
37,Gameweek 37,2026-05-17T12:30:00+00:00,0,False,False,,1779021000,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
38,Gameweek 38,2026-05-24T13:30:00+00:00,0,False,False,,1779629400,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
